MASTERCLIENT,LOCATIONCODE,ITEMNO,DESCRIPTION,DESCRIPTION2,OKQUANTITY,REJECTQUANTITY,HOLDQUANTITY,TOTALQUANTITY,PUTAWAYOUTSTANDINGQTY,GATEENTRYOUTSTANDING,UOM,ITEMCATEGORYCODE,BRANDCODE,VENDORCODE,VENDORNAME,GRNNUMBER,ASNNO,GRNREGISTEREDDATE,CLIENTGRNDATE,PETSTYLECODE,STYLENAME,COLORCODE,SIZECODE,SOURCENO,INVOICENO,INVOICEDATE,VEHICLEARRIVALDATETIME,STATUS,POTYPE,CREATEDBY,MODIFYBY,IMEI,BOXID,STOREID,LOTNO,SERIALNO,LOTEXPIRY,MRP,VENDORBATCHNO,MFGDATE,PONO,PURCHASEPRICE,VENDORORDERNO,DISPATCHTYPE,ITEMSERIALNO,TOTALWAREHOUSEQUANTITY,CONTAINERNO,PONO2,COUNTRY_OF_ORIGIN,CATEGORY,BILL_OF_LADING,BILL_OF_ENTRY,WEIGHT,VOLUME,LPNCODE,ITEMCBM,ASNCBM,TOTALITEMCBM,TOTALASNCBM,NO2,BINCODE,TRANSPORTERNAME,VEHICLENO,DOCKETNO,VENDORADDRESS,SOURCETYPE,DEVICEMAC,DATA_MONTH
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119865,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B486187950E2,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX120607,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B48618793A02,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119799,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B4861879B2F2,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119990,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B4861879E542,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119868,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B4861879F7E2,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119795,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B4861879AE02,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119800,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B4861879C552,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119822,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B4861879E612,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119828,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B48618797592,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,009-HAPUR,009-Hapur ( Sumit ),GRN/2025/3184,,2026-01-30T14:00:02,,WM-02,,,,TR/2425/33,TR/2425/33,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/361,GX119796,,0,,2025-08-19T00:00:00,,2200,TO/2025/39,Warehouse,,1,,,,,,,0,0,DEL_CX2805,0,0,0,0,ONT,,,,,"House No.1065/, GH, Navi Kareem 2, Hapur,",Transfer Receipt,B4861879F5C2,2026-01-01
